;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;DIS;310C;Interacción Hombre-Computador I;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;17;22;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;311C;Interacción Hombre-Computador II;Processing + librerías;Aplicación gratuita;3.3.6;;Libre;;1;17;22;Intel i5;3 ghz;64 bits;Mac OS X;16;64
;DIS;311C;Interacción Hombre-Computador II;Reactivision;Aplicación gratuita;1.5.1;;Libre;;1;17;22;;;64 bits;;;
;DIS;311C;Interacción Hombre-Computador II;PureData;Aplicación gratuita;0.48.0;;Libre;;1;17;22;;;64 bits;;;
;DIS;311C;Interacción Hombre-Computador II;Adobe Experience Design CC;#N/A;#N/A;;#N/A;;1;17;22;Intel o AMD multicore;2 GHz;64 bits;>=MAC OS 10.11;4;2
;DIS;311C;Interacción Hombre-Computador II;SDK Kinect;Aplicación gratuita;#¡REF!;;Libre;;1;7;22;64-bit processor.;3.1 GHz;64 bits;>=Mac OS X 10.9 ;2;1
;DIS;311C;Interacción Hombre-Computador II;SDK Leapmotion;Aplicación gratuita;2.3.1;;Libre;;1;7;22;Intel i5;3.70 GHz;64 bits;>=Windows 7;8;3
;DIS;311C;Interacción Hombre-Computador II;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;7;22;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;311C;Interacción Hombre-Computador II;Fritzing;Aplicación gratuita;0.9.3;;Libre;;1;7;22;;;64 bits;;;
;DIS;311C;Interacción Hombre-Computador II;Arduino;Aplicación gratuita;1.8.5;;Libre;;1;7;22; with SSE2 instruction set.;1Ghz;64 bits;>=Windows7;1;0.103
;DIS;311C;Interacción Hombre-Computador II;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;7;22; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;DIS;106G;Proyecto de grado I -DMI;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;7;22; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;DIS;101C;Proyecto de grado II -DMI;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;7;22; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;DIS;310C/311C;Taller de Diagramación;Adobe Reader;Aplicación gratuita;2018.009.20044;;Libre;;1;7;22;Intel; 1,3 GHz;64 bits;>=MAC OS 10.8;1;0.350
;DIS;310C/311C;Taller de Diagramación;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;7;22;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;302C;Diseño gráfico digital;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;13;25;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;302C;Diseño gráfico digital;Adobe Reader;Aplicación gratuita;2018.009.20044;;Libre;;1;13;25;Intel; 1,3 GHz;64 bits;>=MAC OS 10.8;1;0.350
;DIS;302C;Diseño gráfico digital;Audacity;Aplicación gratuita;2.2.0;;Libre;;3;69;72;SSE2 support;2 GHz;64 bits;>= OS X 10.7;4;55
;DIS;310C;Modelado 3D1;3ds Max Studio;Convenio;2018(20.0.0.966);;Limitada a cantidad Concurrente;;3;69;72;Intel o AMD multicore;1 GHz;64 bits;>=Windows 7;4;6
;DIS;310C;Modelado 3D1;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;0;0;0;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Modelado 3D1;Mudbox ;Convenio;2018.1;;Limitada a cantidad Concurrente;;0;0;0;;;64 bits;;;
;DIS;310C;Modelado 3D1;Maya Unlimited;Convenio;2018.1.1;;Limitada a cantidad Concurrente;;0;0;0;;;64 bits;;;
;DIS;310C;Modelado 3D1;Adobe Reader;Aplicación gratuita;2018.009.20044;;Libre;;1;10;24;Intel; 1,3 GHz;64 bits;>=MAC OS 10.8;1;0.350
;DIS;302C;Animación;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;10;24;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;302C;Animación;Adobe Flash Player ;Aplicación gratuita;20.0.0.126;;Libre;;1;10;24;>=Intel Pentium 4;1.83 GHz;64 bits;>=OS X 10.8;1;1
;DIS;302C;Animación;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;10;24;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Animación II;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;10;24;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Animación II;Maya Unlimited;Convenio;2018.1.1;;Limitada a cantidad Concurrente;;0;0;0;;;64 bits;;;
;DIS;310C;Animación II;3ds Max Studio;Convenio;2018(20.0.0.966);;Limitada a cantidad Concurrente;;0;0;0;Intel o AMD multicore;1 GHz;64 bits;>=Windows 7;4;6
;DIS;310C;Animación III;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;0;0;0;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
